era,trigger,eta_r9_bin,pt_lo,pt_hi,eff_cms,err_hi_cms,err_lo_cms,status_pass_cms,status_fail_cms,eff_exp,err_hi_exp,err_lo_exp,status_pass_exp,status_fail_exp,bkg_syst,total_unc_hi,total_unc_lo
postBpix,seed,EB_R9gt0p85,35.0,37.0,0.934,0.001,0.001,4,0,0.934,0.001,0.001,4,4,0.0,0.001,0.001
postBpix,seed,EB_R9gt0p85,37.0,40.0,0.9418,0.001,0.001,4,0,0.9418,0.001,0.001,0,0,0.0,0.001,0.001
postBpix,seed,EB_R9gt0p85,40.0,45.0,0.9502,0.001,0.001,0,0,0.9502,0.001,0.001,0,0,0.0,0.001,0.001
postBpix,seed,EB_R9gt0p85,45.0,50.0,0.9565,0.001,0.001,0,0,0.9565,0.001,0.001,4,0,0.0,0.001,0.001
postBpix,seed,EB_R9gt0p85,50.0,60.0,0.964,0.001,0.001,4,0,0.9654,0.001,0.001,0,0,0.0014,0.001704,0.001704
postBpix,seed,EB_R9gt0p85,60.0,70.0,0.9731,0.001,0.001,4,0,0.9739,0.001,0.001,0,0,0.0008,0.001256,0.001256
postBpix,seed,EB_R9gt0p85,70.0,90.0,0.9839,0.001,0.001,0,4,0.9833,0.001,0.001,4,4,0.0006,0.001141,0.001141
postBpix,seed,EB_R9gt0p85,90.0,999999.0,0.9937,0.001,0.001,4,0,0.9938,0.001,0.001,0,0,0.0002,0.001013,0.001013
postBpix,seed,EE_R9_0p90to0p93,0.0,35.0,0.8418,0.0093,0.0058,4,4,0.838,0.0031,0.0031,0,0,0.0037,0.009987,0.006876
postBpix,seed,EE_R9_0p90to0p93,35.0,37.0,0.9594,0.0088,0.0037,0,4,0.9595,0.0022,0.0023,0,0,0.0,0.00879,0.00367
postBpix,seed,EE_R9_0p90to0p93,37.0,40.0,0.9718,0.0027,0.002,4,4,0.9718,0.001,0.001,4,0,0.0,0.00267,0.00204
postBpix,seed,EE_R9_0p90to0p93,40.0,45.0,0.9786,0.001,0.001,4,0,0.9786,0.001,0.001,0,0,0.0,0.001,0.001
postBpix,seed,EE_R9_0p90to0p93,45.0,50.0,0.9834,0.001,0.0012,0,0,0.9833,0.001,0.001,0,0,0.0001,0.001003,0.001243
postBpix,seed,EE_R9_0p90to0p93,50.0,60.0,0.9851,0.0025,0.0036,0,0,0.9846,0.0015,0.0016,4,0,0.0006,0.002552,0.003624
postBpix,seed,EE_R9_0p90to0p93,60.0,70.0,0.9868,0.0071,0.0072,0,0,0.9865,0.0039,0.0039,0,0,0.0003,0.007126,0.007156
postBpix,seed,EE_R9_0p90to0p93,70.0,90.0,0.9907,0.0036,0.0036,0,0,0.9909,0.0039,0.0039,0,0,0.0003,0.003579,0.003579
postBpix,seed,EE_R9_0p90to0p93,90.0,999999.0,0.999,0.001,0.001,0,0,0.999,0.001,0.001,0,0,0.0,0.00098,0.001
postBpix,seed,EE_R9gt0p93,0.0,35.0,0.8927,0.0022,0.0021,0,0,0.881,0.001,0.001,0,4,0.0117,0.01186,0.011855
postBpix,seed,EE_R9gt0p93,35.0,37.0,0.9706,0.001,0.0016,0,0,0.969,0.001,0.001,4,0,0.0015,0.001819,0.0022
postBpix,seed,EE_R9gt0p93,37.0,40.0,0.9749,0.001,0.001,0,0,0.9744,0.001,0.001,4,0,0.0005,0.001097,0.001097
postBpix,seed,EE_R9gt0p93,40.0,45.0,0.9773,0.001,0.001,4,4,0.9771,0.001,0.001,4,4,0.0002,0.001013,0.001013
postBpix,seed,EE_R9gt0p93,45.0,50.0,0.9788,0.001,0.001,0,0,0.9789,0.001,0.001,4,0,0.0001,0.001003,0.001003
postBpix,seed,EE_R9gt0p93,50.0,60.0,0.9771,0.001,0.001,0,4,0.9786,0.001,0.001,4,0,0.0015,0.00177,0.00177
postBpix,seed,EE_R9gt0p93,60.0,70.0,0.9827,0.002,0.0022,0,4,0.9835,0.001,0.001,0,0,0.0009,0.002171,0.00241
postBpix,seed,EE_R9gt0p93,70.0,90.0,0.9879,0.0013,0.0012,4,0,0.9876,0.0013,0.0029,0,0,0.0003,0.001346,0.00123
postBpix,seed,EE_R9gt0p93,90.0,999999.0,0.9928,0.0014,0.001,0,0,0.9924,0.001,0.001,0,4,0.0004,0.001459,0.001099
postBpix,unseed,EB_R9_0p50to0p55,0.0,21.0,0.9858,0.0052,0.0052,4,0,0.9861,0.0051,0.0051,4,0,0.0002,0.005245,0.005176
postBpix,unseed,EB_R9_0p50to0p55,21.0,25.0,0.996,0.0024,0.0018,4,0,0.9962,0.0014,0.0011,0,0,0.0002,0.002451,0.001785
postBpix,unseed,EB_R9_0p50to0p55,25.0,28.0,0.9988,0.001,0.001,4,0,0.9973,0.0014,0.0014,4,0,0.0014,0.00123,0.001737
postBpix,unseed,EB_R9_0p50to0p55,28.0,31.0,0.9987,0.0011,0.001,4,4,0.9993,0.0007,0.0014,4,0,0.0006,0.001312,0.001193
postBpix,unseed,EB_R9_0p50to0p55,31.0,35.0,0.9994,0.0006,0.001,4,0,0.9994,0.0006,0.001,0,0,0.0001,0.00056,0.001002
postBpix,unseed,EB_R9_0p50to0p55,35.0,40.0,0.9996,0.0004,0.001,0,0,0.9997,0.0003,0.001,0,0,0.0001,0.00041,0.001002
postBpix,unseed,EB_R9_0p50to0p55,40.0,45.0,0.9996,0.0004,0.001,4,0,0.9995,0.0005,0.001,4,0,0.0001,0.00042,0.001003
postBpix,unseed,EB_R9_0p50to0p55,45.0,50.0,0.9997,0.0003,0.001,0,0,0.9997,0.0003,0.001,0,0,0.0,0.00027,0.001
postBpix,unseed,EB_R9_0p50to0p55,50.0,60.0,0.9998,0.0002,0.001,0,0,0.9998,0.0002,0.001,0,0,0.0,0.00024,0.001
postBpix,unseed,EB_R9_0p50to0p55,60.0,70.0,0.9994,0.0006,0.001,0,0,0.9995,0.0005,0.001,0,0,0.0001,0.00059,0.001002
postBpix,unseed,EB_R9_0p50to0p55,70.0,90.0,0.9988,0.0012,0.0022,0,0,0.9986,0.0014,0.0032,0,0,0.0002,0.00117,0.00222
postBpix,unseed,EB_R9_0p50to0p55,90.0,999999.0,0.9961,0.001,0.001,4,0,0.9956,0.001,0.001,0,0,0.0006,0.001156,0.001156
postBpix,unseed,EB_R9_0p55to0p85,0.0,21.0,0.9891,0.004,0.0026,4,0,0.9899,0.0038,0.0024,4,0,0.0008,0.004056,0.002686
postBpix,unseed,EB_R9_0p55to0p85,21.0,25.0,0.9966,0.001,0.001,4,4,0.999,0.001,0.0019,4,0,0.0024,0.002572,0.002572
