era,trigger,eta_r9_bin,pt_lo,pt_hi,eff_cms,err_hi_cms,err_lo_cms,status_pass_cms,status_fail_cms,eff_exp,err_hi_exp,err_lo_exp,status_pass_exp,status_fail_exp,bkg_syst,total_unc_hi,total_unc_lo
preBpix,seed,EB_R9_0p55to0p85,35.0,37.0,0.9344,0.0015,0.0007,0,0,0.9342,0.0006,0.0006,4,0,0.0002,0.001513,0.000728
preBpix,seed,EB_R9_0p55to0p85,37.0,40.0,0.9442,0.0004,0.0004,0,0,0.9442,0.0004,0.0004,4,4,0.0,0.0004,0.0004
preBpix,seed,EB_R9_0p55to0p85,40.0,45.0,0.952,0.0001,0.0001,0,0,0.952,0.0003,0.0003,0,0,0.0,0.0001,0.0001
preBpix,seed,EB_R9_0p55to0p85,45.0,50.0,0.9539,0.0006,0.0005,0,0,0.9537,0.0001,0.0001,0,4,0.0002,0.000632,0.000539
preBpix,seed,EB_R9_0p55to0p85,50.0,60.0,0.9513,0.0012,0.0012,4,4,0.9523,0.0007,0.0007,4,0,0.001,0.001562,0.001562
preBpix,seed,EB_R9_0p55to0p85,60.0,70.0,0.9587,0.0038,0.004,0,0,0.9556,0.0031,0.0032,0,0,0.0031,0.004904,0.005061
preBpix,seed,EB_R9_0p55to0p85,70.0,90.0,0.9671,0.0017,0.0021,0,4,0.9669,0.0017,0.0018,0,0,0.0002,0.001712,0.00211
preBpix,seed,EB_R9_0p55to0p85,90.0,999999.0,0.9772,0.0057,0.0053,0,0,0.9745,0.0026,0.0033,0,0,0.0027,0.006307,0.005948
preBpix,seed,EB_R9gt0p85,0.0,35.0,0.8755,0.001,0.001,4,0,0.8644,0.0001,0.0001,0,0,0.0111,0.011145,0.011145
preBpix,seed,EB_R9gt0p85,35.0,37.0,0.9164,0.0001,0.0001,0,0,0.9164,0.0005,0.0005,0,4,0.0,0.0001,0.0001
preBpix,seed,EB_R9gt0p85,37.0,40.0,0.9269,0.0003,0.0003,0,0,0.9268,0.0003,0.0003,0,4,0.0001,0.000316,0.000316
preBpix,seed,EB_R9gt0p85,40.0,45.0,0.9387,0.0002,0.0002,0,0,0.9387,0.0002,0.0002,0,0,0.0,0.0002,0.0002
preBpix,seed,EB_R9gt0p85,45.0,50.0,0.9446,0.0003,0.0003,4,4,0.9446,0.0001,0.0001,0,0,0.0,0.0003,0.0003
preBpix,seed,EB_R9gt0p85,50.0,60.0,0.9488,0.0017,0.0017,0,4,0.9522,0.0003,0.0003,4,4,0.0034,0.003801,0.003801
preBpix,seed,EB_R9gt0p85,60.0,70.0,0.954,0.0023,0.0027,0,4,0.9566,0.0008,0.0008,0,4,0.0026,0.003471,0.003748
preBpix,seed,EB_R9gt0p85,70.0,90.0,0.9729,0.0035,0.004,4,4,0.9701,0.0012,0.0011,0,0,0.0028,0.004482,0.004883
preBpix,seed,EB_R9gt0p85,90.0,999999.0,0.9805,0.0008,0.0007,4,4,0.9813,0.0007,0.0007,0,4,0.0008,0.001131,0.001063
preBpix,seed,EE_R9_0p90to0p93,0.0,35.0,0.7975,0.0087,0.0095,0,4,0.7777,0.003,0.002,0,0,0.0198,0.021627,0.021961
preBpix,seed,EE_R9_0p90to0p93,35.0,37.0,0.9164,0.0054,0.0052,0,0,0.9118,0.0026,0.0027,0,4,0.0046,0.007094,0.006943
preBpix,seed,EE_R9_0p90to0p93,37.0,40.0,0.9256,0.0017,0.0018,0,4,0.9256,0.0018,0.0018,4,4,0.0,0.0017,0.0018
preBpix,seed,EE_R9_0p90to0p93,40.0,45.0,0.9377,0.0013,0.0013,4,0,0.9383,0.0012,0.0013,4,4,0.0006,0.001432,0.001432
preBpix,seed,EE_R9_0p90to0p93,45.0,50.0,0.9491,0.0028,0.0022,0,0,0.9485,0.0014,0.0014,0,4,0.0006,0.002864,0.00228
preBpix,seed,EE_R9_0p90to0p93,50.0,60.0,0.9532,0.0037,0.0061,0,0,0.9525,0.0009,0.0022,0,0,0.0007,0.003766,0.00614
preBpix,seed,EE_R9_0p90to0p93,60.0,70.0,0.9633,0.0045,0.0048,0,0,0.9644,0.0037,0.0041,0,0,0.0011,0.004632,0.004924
preBpix,seed,EE_R9_0p90to0p93,70.0,90.0,0.9712,0.0078,0.006,0,0,0.9712,0.0055,0.009,0,0,0.0,0.0078,0.006
preBpix,seed,EE_R9_0p90to0p93,90.0,999999.0,0.9763,0.0035,0.0044,0,4,0.976,0.0038,0.0042,0,0,0.0003,0.003513,0.00441
preBpix,seed,EE_R9gt0p93,0.0,35.0,0.8524,0.0026,0.0027,0,0,0.8278,0.0009,0.0009,0,0,0.0246,0.024737,0.024748
preBpix,seed,EE_R9gt0p93,35.0,37.0,0.9426,0.002,0.002,4,4,0.9402,0.0006,0.0006,0,4,0.0024,0.003124,0.003124
preBpix,seed,EE_R9gt0p93,37.0,40.0,0.951,0.0005,0.0005,0,0,0.9507,0.0005,0.0005,4,4,0.0003,0.000583,0.000583
preBpix,seed,EE_R9gt0p93,40.0,45.0,0.9598,0.0004,0.0004,4,0,0.9593,0.0003,0.0003,4,0,0.0005,0.00064,0.00064
preBpix,seed,EE_R9gt0p93,45.0,50.0,0.9652,0.0005,0.0005,0,0,0.9651,0.0004,0.0004,4,0,0.0001,0.00051,0.00051
preBpix,seed,EE_R9gt0p93,50.0,60.0,0.9675,0.001,0.0007,0,0,0.9689,0.0008,0.0008,4,0,0.0014,0.00172,0.001565
preBpix,seed,EE_R9gt0p93,60.0,70.0,0.9772,0.0021,0.0022,0,0,0.9755,0.0024,0.0038,0,0,0.0017,0.002702,0.00278
preBpix,seed,EE_R9gt0p93,70.0,90.0,0.9795,0.0022,0.0034,4,4,0.9835,0.0019,0.0039,0,0,0.004,0.004565,0.00525
preBpix,seed,EE_R9gt0p93,90.0,999999.0,0.989,0.0017,0.0021,0,4,0.989,0.0013,0.0019,0,0,0.0,0.0017,0.0021
preBpix,unseed,EB_R9_0p50to0p55,0.0,21.0,0.7761,0.0546,0.0127,4,4,0.7961,0.0196,0.0291,4,0,0.02,0.058148,0.023692
preBpix,unseed,EB_R9_0p50to0p55,21.0,25.0,0.8941,0.0185,0.0414,4,0,0.8782,0.0142,0.0138,0,4,0.0159,0.024394,0.044348
preBpix,unseed,EB_R9_0p50to0p55,25.0,28.0,0.9286,0.0134,0.012,4,0,0.9119,0.003,0.0031,0,4,0.0167,0.021411,0.020564
preBpix,unseed,EB_R9_0p50to0p55,28.0,31.0,0.9449,0.0125,0.0124,0,4,0.9163,0.0029,0.0029,4,0,0.0286,0.031212,0.031172
preBpix,unseed,EB_R9_0p50to0p55,31.0,35.0,0.9423,0.0052,0.0052,0,0,0.9355,0.001,0.001,0,0,0.0068,0.00856,0.00856
preBpix,unseed,EB_R9_0p50to0p55,35.0,40.0,0.9467,0.0015,0.0015,0,0,0.9464,0.001,0.001,0,0,0.0003,0.00153,0.00153
preBpix,unseed,EB_R9_0p50to0p55,40.0,45.0,0.9563,0.0018,0.0013,0,0,0.9563,0.0013,0.0013,0,0,0.0,0.0018,0.0013
preBpix,unseed,EB_R9_0p50to0p55,45.0,50.0,0.9623,0.0016,0.0016,0,4,0.9617,0.0016,0.0017,0,0,0.0006,0.001709,0.001709
preBpix,unseed,EB_R9_0p50to0p55,50.0,60.0,0.9561,0.0031,0.0031,0,0,0.956,0.0027,0.0028,0,0,0.0001,0.003102,0.003102
preBpix,unseed,EB_R9_0p50to0p55,60.0,70.0,0.983,0.0159,0.0262,4,0,0.9632,0.0066,0.008,4,0,0.0198,0.025394,0.03284
preBpix,unseed,EB_R9_0p50to0p55,70.0,90.0,0.9565,0.0139,0.0144,0,0,0.9574,0.0135,0.0139,0,0,0.0009,0.013929,0.014428
preBpix,unseed,EB_R9_0p50to0p55,90.0,999999.0,0.9426,0.0244,0.0316,0,0,0.9467,0.0221,0.0198,0,4,0.0041,0.024742,0.031865
